Url,Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition,Construction year,Street frontage width,Number of frontages,Surroundings type,Living room,Dressing room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Photovoltaic solar panels,Thermic solar panels,Common water heater,Double glazing,Planning permission obtained,Type of building,Obligation to build,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels-city/1000/11083799,11083799,brussels-city,1000,599000,house,apartment-block,for-sale,6,160,1,0,0,,,45,,0,Just renovated,1899,,2,Urban,,,,,,,,,,319,F,,,Gas,,,,,,,,,,,,,1,Tour & Taxis - Havenlaan 86c 106c,D1000-23161-1
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10867991,10867991,bruxelles,1000,Starting price : 200000,house,house,for-sale,5,,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,1,"Rue Joseph Stevens, 7 / 24cme ét.",
https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/11136175,11136175,tubize,1480,219000,appartment,apartment,for-sale,2,80,1,0,0,,,,,0,As new,1957,,2,,,,0,,,,,,,144,B,27 kg CO₂/m²,12555 kWh/year,,,,,1,,,0,0,0,,Recognized flood zone,,0,Avenue Arnaud Fraiteur 15/23,54
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/11000180,11000180,dour,7370,170000,house,house,for-sale,4,253,1,0,0,,,318,,0,,,,2,,,,,,,,,,0,312,D,,78903 kWh/year,Fuel oil,,,,1,,,,,,,,,0,"Rue de l'Eglise, 1",11354 - 185114
https://www.immoweb.be/en/classified/house/for-sale/templeuve/7520/11136180,11136180,templeuve,7520,240000,house,house,for-sale,3,115,1,0,0,,,442,,0,,,,3,,,,,,,,,,0,335,D,,38705 kWh/year,Fuel oil,1,,,1,,,,,,,,,0,Avenue de Maire 202,4641 - VM184
https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/10414477,10414477,mouscron,7700,319000,house,house,for-sale,4,225,1,0,1,,,528,,0,,1975,,4,,,,,,,,,,0,320,D,,71727 kWh/year,Fuel oil,,,,1,,,,,,,,,0,Avenue de Maire 202,3850 - VM080
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10785531,10785531,bruxelles,1000,750000,house,apartment-block,for-sale,5,240,1,0,0,,,83,,0,,,,,,,,,,,,,,1,306,F,61 kg CO₂/m²,,,,,,,,,,,,,,,1,Rue de Stalle 288C,14982 - 4138613
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10979713,10979713,bruxelles,1000,1695000,house,apartment-block,for-sale,,480,1,0,0,,,,,0,Good,1888,,2,,,0,0,0,0,0,0,Connected,0,202,D,37 kg CO₂/m²,,Gas,0,0,1,1,,,,1,,1,,,1,Rue de Wynants 9,00722cla
https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/11136181,11136181,mouscron,7700,239000,house,house,for-sale,2,284,1,0,1,,,578,,0,,1930,,2,,,,,,,,,,0,281,D,,79928 kWh/year,Gas,1,,,1,,,,,,,,,0,Avenue de Maire 202,4642 - VM183
https://www.immoweb.be/en/classified/farmhouse/for-sale/maldegem/9990/11136184,11136184,maldegem,9990,569000,house,farmhouse,for-sale,4,170,1,0,0,,,15920,,0,Good,,,,,1,,,,,,,,,,,,,Gas,1,,1,1,,,,,,,,,0,Markstraat 43,
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/11136185,11136185,vilvoorde,1800,209000,appartment,apartment,for-sale,1,55,1,0,0,,,,,0,Just renovated,1937,,2,,,,,,,,,,,321,D,,,Gas,,,,1,1,,,,1,,Non flood zone,"Living area (residential, urban or rural)",0,James Ensorlaan 39,1980789 - 1800
https://www.immoweb.be/en/classified/house/for-sale/brussels-city/1000/10999029,10999029,brussels-city,1000,Starting price : 700000,house,house,for-sale,8,,1,0,0,,,195,,0,,,,,,,,,,,,,,,481,G,,,,,,,,,,,,,,,,0,"Paradijsvogelslaan, 24",
